FintAccountNumber,Balance,AccountType,LinkedCustomerID
GB55ANEM69575631095039,85301.74,Savings,4e41ba43-24a2-480b-9be3-171865f88d10
GB53QFQV94229977163634,384453.88,Checking,bd454dde-d8bc-45a2-85a8-b45e212b043d
GB12SUAE53428078856357,406155.09,Business,f3840282-3093-428b-ac17-8c100813427b
GB75PVMJ92732494366293,280357.91,Savings,25c63464-3219-4826-920a-845f7444e2c0
GB14FNXO02067450503563,20413.06,Checking,24ecbbb2-c4ca-4319-b90d-dae3ecef4eaa
GB18EGAM61288371300090,717691.04,Business,29bd2f87-d66e-4132-ba8a-d7b4fd6e43ca
GB28YIDP42740667559921,684880.19,Savings,73cb58b9-3e05-40c8-bc33-705a73361755
GB47SKPI46542086239857,510403.25,Checking,a465d681-6c5e-4d87-ad5c-77383968ae77
GB74PNAP23192246104470,524889.65,Business,d2d8ab49-8d2d-4a42-9609-a420d3f481af
GB08OEHE95929426353299,916060.51,Savings,8eda2178-3c56-4e24-9813-d0c9ff07d46e
GB88PXUJ57928914017391,641024.64,Checking,4a24caf0-82be-4ddc-ac63-f13c5814fa9b
GB64FAPB95472343476573,556164.82,Business,9e594223-b36d-48eb-972a-77bcdc827c98
GB62HIGY42059203464134,55186.37,Savings,cc9ae908-f444-4e3e-923a-ca615d6409ee
GB42DKMH05356184808930,479780.88,Checking,18c03ba0-1417-48fa-b283-45f2e05f9ebd
GB88UGJD96457219056151,399793.76,Business,960d5c07-7eaf-4a98-95ad-0059dc332d4b
GB45GQMO96631154817263,907210.27,Savings,1c4d0fd3-041e-4908-b445-a0362e1f1c41
GB09RCWE74667426477310,656556.17,Checking,08ed62ae-4fe2-413f-a916-0df1b6b193a4
GB89ONIK85278976254557,221276.74,Business,ff21bef8-2abd-4541-b7df-8e8067510f57
GB19UKKI50061527897000,586872.57,Savings,850cdd05-1912-4053-b1a3-d0d7ebe05f7d
GB51AQJO21406449375014,410934.86,Checking,e3fc0c50-50a5-405e-a038-04baa453692b
GB73KMIW30461317225940,809753.29,Business,3fe7cded-c868-4d72-b8bd-a5004216cfe5
GB68JKIM74073552477353,987515.78,Savings,47170325-ec0d-4bd8-97bf-7b054c92eb36
GB60KEKM66155162073338,777500.16,Checking,8fdb7ca9-f7a9-4e14-b51c-bf0d735cd2e2
GB88YPIN32455281491714,228844.3,Business,a790805a-e88c-4444-a4d3-f281fb0029ef
GB24QWCP58804670141661,629303.11,Savings,c5136c9a-9768-4c35-8b80-6a75be5dd569
GB88CZDL10694068063898,912834.93,Checking,3490b470-8b87-46f1-8c68-70f9ce771a00
GB60DLHG23175190562936,90806.34,Business,d667d1da-892a-4953-878f-8e5a468b8d20
GB95YSVY45562506316318,302868.42,Savings,6710dc74-edfa-424b-8a71-d4ae4ba9445b
GB46KAWX12035441846896,313882.27,Checking,d252f12a-e03a-4909-9ebe-f82ce9746b70
GB62EILX31102868932654,215047.71,Business,6eddcdb2-6eaf-40e5-b784-acd455b296d7
GB77LIUQ31559481605139,173410.93,Savings,0e16d83b-c0b1-4bc6-a75b-3e754552cf9c
GB11CEML42771762431251,242722.7,Checking,c868f28a-c2dd-400e-b188-5811ef76da05
GB05DGYG68070354521603,387891.83,Business,799e0dd5-7c16-4c66-8a89-d2e35f72a25e
GB21CQFW54904470493435,478643.57,Savings,58cd4e9f-023b-44bc-81a8-b5f962986c5a
GB43NSUG42561452038154,810495.97,Checking,2d794111-3274-43a6-8275-bf4c3935017e
GB88QQVR36043744249901,271357.59,Business,77b0eedd-7440-4c27-825e-0dead5e5376f
GB10PMOA18178677099480,655596.19,Savings,ef462d07-5111-4a34-a943-9f446edc7e4a
GB89CXMN77509045800857,779954.64,Checking,fb18de06-212c-4c4e-8356-10bd4829f118
GB57NZBP14808587917118,242472.0,Business,cd635f00-265e-4063-8baa-1d4e64c1c299
GB22GAMD55971049227808,449784.25,Savings,bc07c82e-1562-42ca-be64-4aeed924c713
GB52KZRB17831437252644,808163.86,Checking,cd3c3379-813a-4ee6-85e3-06320e06d2ca
GB61KRXR33211862946569,26589.57,Business,d897e26f-6e44-478e-9f42-ff1f23c39962
GB40MRTL00309559225687,563498.03,Savings,ed9eed92-45b8-4d02-b8f3-f3152569d4da
GB31TDAL93093839821871,428889.05,Checking,879f8fdc-2b65-42cc-845d-e557fa5193e1
GB25TZWZ28747166926904,397206.39,Business,5d3c977d-1542-4cfb-99b8-40136b52d4a5
GB62FEHJ42523974822014,502559.36,Savings,bf721fef-8dcd-47ad-a789-4bc59a5892e7
GB20ICID20405349929944,673289.5,Checking,79723506-a987-4efd-8a05-740798d6e865
GB26IIHA34601342154787,456097.09,Business,3ae73006-b760-4eec-97ee-1ebc147fb5a7
GB80WFTX48236913558476,13102.04,Savings,29b82efe-4b53-4e99-b319-78905bc696cf
GB97GZXJ47338117056206,349264.03,Checking,2c3ddb20-7f92-464b-bb8f-01047006dad1
GB02FIDE96706000146689,273632.32,Business,81bdb2d0-c0ef-49c3-91de-9e90d94fb75a
GB28JGVP36724234024854,564667.16,Savings,3be01873-a21a-4363-a40b-b13d07add141
GB14DRZH23004189236356,10124.04,Checking,80ff7b9e-2d7e-457f-80f3-e05590c86b12
GB06ZLFB52831958250966,550747.9,Business,4117d3a3-4517-4bf2-b9c8-b0bc6390d293
GB44AZVI70137629985976,837284.74,Savings,67dfff63-6dfa-4d67-881b-70be52154755
GB07JZHK54363540355064,771449.71,Checking,4819f78e-22c5-4d2e-974a-f27917541abd
GB47CDII56725205102846,545993.16,Business,2c868fb7-1ccc-47c0-81aa-2d457aa969e0
GB67HBIZ41050505372496,320667.17,Savings,a4cb32cf-a2a9-4305-b86f-2c8f09ac5f5e
GB04SDCF75401824705302,684919.86,Checking,99f2b801-d4ee-46e0-a7d3-65de70c9c5f5
GB95NCEX20353218821366,725104.92,Business,3d1367ec-fb7d-4c3a-b696-50358e3df597
GB86IVAQ34739562734271,843069.83,Savings,dc103a9b-fd15-44c9-852e-4aa560957592
GB93VRWS95383755142867,284980.76,Checking,0ba5a7df-1dbe-4588-bb75-e5fa8ba5ede2
GB98DAGM02202423730737,974146.39,Business,3e78f6f5-16bd-47ef-a631-30d750f32f72
GB59MRFR27665718053239,549578.67,Savings,8e00a7cd-5c74-4359-9842-f7e9b300c611
GB60GTLB98931344771201,590941.51,Checking,08be7b5b-291e-411a-b7eb-6fe3649c3508
GB32UWBO10971768710723,484064.75,Business,7b2cd7bd-3c17-4515-a966-da1fa7c59976
GB09QZYX20938093560781,681417.2,Savings,28329f86-de89-417c-8ed9-f8ce918f331f
GB03TYAM23170870767245,90297.41,Checking,88edbc04-e65b-41bc-b950-84aeac80a8ff
GB42GSNC37355235080669,642110.5,Business,74981cf0-c7ca-45e9-88df-8d81b4e9f35f
GB35LZZF95257597437871,485291.46,Savings,ca846b75-09b4-446c-a619-3224539869f8
GB29UMVN30460348973904,777710.68,Checking,2a5304d8-ab53-4070-b927-84c4b1e28d92
GB24LOCO79873814212816,128425.14,Business,7df20735-f2b3-42ee-8525-90c8734ec28a
GB71UCXZ73356800211195,458998.16,Savings,9cc5ee41-17b6-42ab-80c0-e4ba84e28383
GB84VTWR69944762426514,677996.31,Checking,710b4be7-4779-4f0c-9a1e-acabda186e7a
GB61XYQO41693035660325,548338.17,Business,d2217e93-3a26-4f00-aa68-0c07a1aec259
GB22BKNQ02384420004480,670045.59,Savings,3bc53d38-161d-4f9c-bdd1-de226edf8b0d
GB82HIFH60406058798946,903105.55,Checking,92d307dd-7de0-472e-bf1a-cbfecf4c16bb
GB41BMXN85169565747607,391549.75,Business,3f43aa2d-5a8b-4460-9efe-30ffef7a6fd2
GB49CUTH53659148975370,186052.0,Savings,f7a6f2e6-6f53-4eb9-a4bb-87328868750e
GB33AYHM72790117521765,743540.42,Checking,041549d4-d09b-4003-acbd-a5dada2faad8
GB50TZOC18105321103964,898809.33,Business,c837d79b-c2c9-455b-9cb1-65abce932621
GB06MAMG37693022083283,492565.04,Savings,7afb1865-0183-417b-9e61-d445be06ac71
GB47KMHK24123251206148,254090.09,Checking,468d2e5f-1798-4561-ae36-9927595177fd
GB96SVQG15524668119243,923579.81,Business,afa51ccb-5e50-47f7-a2fa-13e87ab0880b
GB49EHXW48636970154702,909055.9,Savings,8acde342-7002-4dd0-b751-9f7e94c53e42
GB84JKYQ09795932920864,142430.54,Checking,ad075b6e-81b9-4e1d-919e-5de1e7f240c4
GB67RHHG21429465018406,976994.49,Business,17804964-c6d1-4172-8caa-45e545cff885
GB81DFLZ82278700506695,339770.31,Savings,1312c9b3-971c-42c4-b94d-2584a1438065
GB42BVXX50191907758202,305980.37,Checking,cd472bbb-fc3b-4cdb-bd4d-6e201fe9d59d
GB42TAAC20025368052680,113209.4,Business,4c3b84df-3f21-43e1-89a8-b0eb0c462c94
GB06ROAE59208945124401,638325.3,Savings,02f0c77a-7f8f-426f-9563-34a4f98ab2ba
GB24YQWN73501681193576,151498.08,Checking,e1f69632-6a97-4596-a2e6-8ed5bc423b56
GB11AGMO62802156158248,290196.73,Business,d18ffd5c-4bb8-44a8-bb82-c5d9c4bf2bf6
GB49GHHG91523920690319,900245.53,Savings,d13a4c65-9e5f-48b3-aa2c-7a0a3a6d123a
GB53JBJV42036355174013,966209.48,Checking,4e9484ac-7bb5-4385-9302-65e574bc49ea
GB23YSUN79558486018184,471540.29,Business,884fed75-840d-4687-8733-a5cb9b3d11c4
GB15IASD05619023716140,447675.47,Savings,53b753e0-a848-453b-8c31-a95218d8caf4
GB10BDFW90153898147753,461351.31,Checking,c89ad017-2a2e-4ed9-85c3-7a565b03a2b8
GB73VHWG57355453355288,239067.86,Business,995c914e-36ab-4da8-ad7f-aa27749c7aaa
GB44CGOB09956579835773,733989.5,Savings,63e75814-29b0-4cc6-b592-56130c2572e1
