FintAccountNumber,Balance,AccountType,PrimaryAccountHolderID,SecondaryAccountHolderID
GB58YWRB81371295878573,704957.86,Checking,9fd89d16-6309-4069-b9f5-0d8a154f4735,9fd89d16-6309-4069-b9f5-0d8a154f4735
GB73CPOJ73845457668920,844312.96,Checking,59a6835f-7b97-4db5-ada2-3fa17ae0f92a,59a6835f-7b97-4db5-ada2-3fa17ae0f92a
GB90APGP84265133672800,804101.73,Business,40c66652-2fd9-4c65-b8ab-e32272cb3bbd,40c66652-2fd9-4c65-b8ab-e32272cb3bbd
GB36OWSI15074506676283,407603.92,Savings,f6339173-f11e-458f-9a2e-63ff0334dd12,40c66652-2fd9-4c65-b8ab-e32272cb3bbd
GB19AZEM37350921195755,178138.29,Checking,a6165bfe-5a26-4294-8d61-5e59406fb101,59a6835f-7b97-4db5-ada2-3fa17ae0f92a
GB71QCWL51661841105011,887055.71,Savings,57f4faeb-8ccc-4fe7-a5bb-1534e74f2de6,a6165bfe-5a26-4294-8d61-5e59406fb101
GB88DFQK49861702154372,224125.45,Checking,c9ca73d1-0538-4679-833c-79fd8d578924,40c66652-2fd9-4c65-b8ab-e32272cb3bbd
GB04PTLW40098819631502,863984.9,Savings,3301e53a-eee4-482c-968a-9ba4a5624963,a6165bfe-5a26-4294-8d61-5e59406fb101
GB90HFCT13900630506441,803445.11,Savings,f43f0ccb-1b9f-499d-888d-9908e41baf06,c9ca73d1-0538-4679-833c-79fd8d578924
GB40MWZS09956857301384,928249.23,Checking,c0929281-55f9-4e57-a72a-53643e9f5317,f43f0ccb-1b9f-499d-888d-9908e41baf06
GB58ARIL29716246998412,686671.77,Business,4040c878-4d79-4844-b722-739642890eb0,3301e53a-eee4-482c-968a-9ba4a5624963
GB03TDFZ71667880725558,52996.51,Savings,1297a023-18e5-4d62-9582-08da7cb62af7,40c66652-2fd9-4c65-b8ab-e32272cb3bbd
GB89ANVR13173370190537,332418.73,Checking,98e4a240-fc87-430a-8c10-79c6a3404e49,f6339173-f11e-458f-9a2e-63ff0334dd12
GB62UNBV06911452775705,748.32,Savings,4edd4eaf-fef0-47b8-a298-ec674f2c2f4b,57f4faeb-8ccc-4fe7-a5bb-1534e74f2de6
GB44BQPE64165283572961,111827.41,Savings,fdd6d70a-be72-40d3-8ab3-7f5c52a6745f,fdd6d70a-be72-40d3-8ab3-7f5c52a6745f
GB36BWAU86514835555162,55220.37,Checking,238cd2b0-3781-4f9b-b3e8-9cd232357361,40c66652-2fd9-4c65-b8ab-e32272cb3bbd
GB10PFIA70127544705279,341015.6,Business,db8998ec-b04e-4c79-b15c-534d432a13f9,4040c878-4d79-4844-b722-739642890eb0
GB22AMAF30378251870006,723065.27,Savings,3785dbea-76bd-426e-93f4-4dc3c6776d81,3785dbea-76bd-426e-93f4-4dc3c6776d81
GB19OXAM49681599144178,317936.85,Business,bb6d9923-ddb3-45b0-9c9b-a7cfa96c7b8a,bb6d9923-ddb3-45b0-9c9b-a7cfa96c7b8a
GB04CGYQ92086455812640,589134.49,Checking,b0936ff8-3399-4be1-964b-df33ef3e30c7,98e4a240-fc87-430a-8c10-79c6a3404e49
GB83XDRE52385275070322,963990.63,Savings,d87dce74-15f1-45b5-b44b-6e9437e89204,d87dce74-15f1-45b5-b44b-6e9437e89204
GB97BZTJ23442699301348,242198.17,Savings,1dd1ad08-51e3-4d24-a7f1-b3f4319a7474,d87dce74-15f1-45b5-b44b-6e9437e89204
GB63AMTQ38652437019248,547001.05,Checking,b1cbba2e-9d03-4525-96b8-532fb4bda8f0,d87dce74-15f1-45b5-b44b-6e9437e89204
GB77NBPY75176598416158,433858.26,Business,49c39895-5843-476e-b177-73c1082b6a13,c0929281-55f9-4e57-a72a-53643e9f5317
GB76FMTC57931901008358,891840.95,Business,6e98cd47-7ad2-4522-8ec7-8dd142ac147d,6e98cd47-7ad2-4522-8ec7-8dd142ac147d
