FintAccountNumber,Balance,AccountType,LinkedCustomerID
GB46ZGZE54178837947938,49875.26,Savings,a05c8b95-2f0d-4daf-99b7-de3abd4f3f3a
GB24DGCC93276463835038,579933.22,Checking,851d44a6-1163-402a-b4b8-4e7d838f67ba
GB88HDUD47194976246294,3654.57,Business,b8643911-3e1c-48a3-b9c7-8ecb78f44876
GB76BLZJ24853199747791,60789.74,Savings,b7410cac-917a-479b-9720-93e745f022e0
GB74YWEM58569041790641,858091.24,Checking,6f319548-8bb2-411d-8fd3-19f294e7420f
GB89FNSC86179395511380,733079.17,Business,1e4df6c4-a3b9-4c76-a96f-5d6ef04ccd26
GB37KDMA11393768721949,642652.84,Savings,482c55a4-3b31-458c-b7a5-575b92d6891d
GB82JFSK29276187459925,925846.25,Checking,07e625a9-3d7a-481a-a5d1-1811cc0f8413
GB81ZZSN91602905494173,790263.54,Business,f26165b3-ce2b-4b79-81d3-b0d5fe0821c5
GB08RKDU66319640106361,237758.8,Savings,49c5e534-5e6e-40a4-84d8-45801a2270b9
GB04RDKJ46506522805761,333372.01,Checking,cbac4430-b086-4fb9-85ed-35ff46a9d001
GB43HQYT77223384710951,244782.89,Business,dacb7ce0-04fc-4037-a453-f1105ce663b0
GB63IKKJ19486941456823,306815.99,Savings,bfd01ff8-f5d4-4188-ba6d-65029208e7f5
GB20QJKL64491347309497,772833.47,Checking,a6561b43-7146-4150-a969-3daafc22a6c7
GB07UMPI34047476709067,241714.09,Business,53dc1122-c75b-4efd-81e4-8bd9557a6cf5
GB21CZTZ24381936390734,989394.88,Savings,ee940237-cf2f-42ed-abf9-51df9eb824ce
GB58LKAM19721413433351,615297.87,Checking,4607fbf2-0361-430c-a9c1-1372412415f3
GB40LPTN00999638729277,398445.65,Business,fd7b1ad5-9250-44e7-bdac-8b4e11993aba
GB32RBAF99710899524214,226973.43,Savings,bcf1ac33-be89-4223-8198-38cb8fdec87a
GB58SUFN60463935051832,280286.35,Checking,6530579a-bc33-46dc-8d7b-6f205172ddff
GB62TUNJ56460806691217,64093.17,Business,182c95b2-384c-4e18-b437-b2e647e98c0c
GB19ZZVQ90526744925136,8355.8,Savings,392f0b00-2dae-49bd-bfd5-5bf6d29a2508
GB90AOJB13062292170548,781901.03,Checking,5474b52b-d551-4cd4-a82c-7abff43b4d1f
GB84CZYV59506052875686,625422.12,Business,9b256a6a-d227-40ee-8232-1fe2425bd795
GB89FITJ36359246075780,898784.71,Savings,d5aa5564-cec2-4e24-be13-e9b1a593982d
GB84NUSZ73189442963597,233889.03,Checking,67eb354b-4553-4fb9-a703-2053d265d398
GB25LCBY42448821647094,601400.09,Business,3db8b9b8-16d5-4e85-89ba-12688a41c598
GB93PUUT52309604331205,180321.76,Savings,25260a39-f7c4-4dab-a14b-af61254da904
GB55RINH08662069579763,931792.34,Checking,910bb9ff-9bf1-4f8d-8916-6e02bf040b76
GB21JOEC46326913703784,395262.37,Business,6a9dfd01-15a2-4359-af2f-d3c2021ee471
GB76ZFFN69683571741572,556318.95,Savings,b0e09120-e537-47ef-95ac-1f9fe32d8e6a
GB39XXAS13846548211996,275080.66,Checking,a8340625-6988-4222-8354-534d2c64cbae
GB20LHHI48114136455703,63816.38,Business,431543c7-d287-423d-b8bd-d1339392b7e9
GB63QNGZ23004996075770,977418.92,Savings,0c4e2dd2-c899-4679-8fb1-4c2d7bc29014
GB13KYGY63461354431677,620017.54,Checking,51f69d9a-b29d-4e1c-af8f-7ad5003e465a
GB81MIVK13525143508471,851690.04,Business,ff371c4e-8700-46b4-ba72-171ff64209c5
GB87TXXC27532781003750,787100.31,Savings,aac9fecb-5f92-4435-bcfc-69dff80ac26f
GB11SEOQ44266081163190,814773.6,Checking,fec00de5-4295-4752-b6a0-5e8b604a5941
GB24TJYH60729269944904,933813.06,Business,a5e3bfda-3369-4342-a7c2-fe86361bcc94
GB89MIOS39691016113039,728911.4,Savings,8e705c44-e512-4dc7-b75c-b68c86d4ef49
GB24GVXB92128119834771,660720.49,Checking,7a8b4046-1192-4a9e-980c-e1abbd53e832
GB98XUHT39031244028537,656969.45,Business,d61321b9-19f9-485b-90b0-a10b10c09cf3
GB52ERCU85929116985383,510734.09,Savings,3ea82b4b-1ed4-4873-a53a-42b535abc9c8
GB19DVAY26255162878019,526656.17,Checking,41a7c494-9397-4f8e-8a55-ce550e897dd7
GB49VWSL42268992996527,53560.74,Business,88feffba-088a-4b66-886b-1b07852ed6a3
GB82GNZD98355182694122,325957.99,Savings,a2253776-a87e-49cc-888c-a6f31d38d2e1
GB46WNVS03927775389776,597881.72,Checking,6805ab6c-d551-4480-a842-54f1c1839f23
GB48EBRW92235461418550,656621.34,Business,f0fd41ca-a364-4a1f-937f-68e679b36e04
GB83LZDT61465489037085,489996.82,Savings,e2b2c3d0-53cb-4f2b-bab2-afb5b5a41a4a
GB11GONT62770775123880,703137.1,Checking,795c6880-a102-4d87-9189-2b077f645e45
GB71NDII73069991587037,762388.02,Business,f2a13cb8-5469-43ee-aa73-e8dc103ba2b5
