FintAccountNumber,Balance,AccountType,PrimaryAccountHolderID,SecondaryAccountHolderID
GB68SRPS47633709177524,333063.37,Business,be3095e9-f8e3-4962-979b-ae3af580798b,be3095e9-f8e3-4962-979b-ae3af580798b
GB44WPRC88896724949280,126917.53,Savings,9a1c94b1-9f67-4a2b-9214-ecb218e3553a,9a1c94b1-9f67-4a2b-9214-ecb218e3553a
GB44RMAB86727744670660,248035.71,Savings,74e9ba5d-e7be-4b94-81d8-34043c1415a2,74e9ba5d-e7be-4b94-81d8-34043c1415a2
GB80AJFZ28399009661834,340619.57,Savings,c9d827a9-c3a3-48e1-b7c8-1d93ac139442,c9d827a9-c3a3-48e1-b7c8-1d93ac139442
GB75CAZQ43855455846629,698772.95,Savings,88d022ad-6625-4e39-a8c5-5cb08aa0d4d0,88d022ad-6625-4e39-a8c5-5cb08aa0d4d0
GB88MMDP42958158790441,901532.63,Checking,99246b44-a0b5-4772-ae77-977f525422f0,99246b44-a0b5-4772-ae77-977f525422f0
GB62QFRG81307056245755,547584.78,Checking,1db13333-bb91-4944-b3a0-d2aece9bc8e8,99246b44-a0b5-4772-ae77-977f525422f0
GB05KXQJ64311901938697,443948.47,Checking,2aca3c61-497c-42da-b0b7-bf9d7a4e7f61,2aca3c61-497c-42da-b0b7-bf9d7a4e7f61
GB72GUJE55748869257360,458220.12,Checking,504edc6e-f2e1-49b4-a067-292800133e03,c9d827a9-c3a3-48e1-b7c8-1d93ac139442
GB58WMXV58864935667678,722761.58,Savings,343f8060-d317-4117-bfac-942c7bc4795e,343f8060-d317-4117-bfac-942c7bc4795e
GB33UISH20225083115300,378615.57,Savings,5fb2c2c0-bfda-48a1-8d77-0b1013abe3fd,99246b44-a0b5-4772-ae77-977f525422f0
GB82NCWM94700398482840,386587.55,Business,8d7accf9-2f86-4f4f-9989-bf42b30b654e,8d7accf9-2f86-4f4f-9989-bf42b30b654e
GB60JZFI80287940335027,698513.85,Business,c5d4dcc8-d355-44f4-bda4-4265a44ae553,9a1c94b1-9f67-4a2b-9214-ecb218e3553a
GB83YDBC41503019730905,643253.31,Checking,7f8a3372-cb6b-4671-847c-92f7061369b6,343f8060-d317-4117-bfac-942c7bc4795e
GB04ZJUZ88571351816480,675370.48,Checking,c093415d-baca-4031-8d36-82d5cc0f829d,74e9ba5d-e7be-4b94-81d8-34043c1415a2
GB70KUHM35995521015429,723824.57,Business,2d6bedee-c74d-404f-9c86-8ffe5c125b50,2d6bedee-c74d-404f-9c86-8ffe5c125b50
GB47SYAC95712563961964,82910.4,Savings,d59fe536-1da5-4694-a19f-cce6c6033136,d59fe536-1da5-4694-a19f-cce6c6033136
GB26IQPF60800529711238,773519.16,Business,06dd5707-e4d2-4488-a369-92b1759e71a9,06dd5707-e4d2-4488-a369-92b1759e71a9
GB72BMHG23479060175032,408055.3,Checking,818f0007-ebd1-4fe3-ae90-428e59e5b282,818f0007-ebd1-4fe3-ae90-428e59e5b282
GB33TAXT21250812705559,11572.21,Business,51c51621-19d1-451f-980a-2e4fb36187ea,51c51621-19d1-451f-980a-2e4fb36187ea
GB34UQGT03311924408930,435961.18,Checking,a2f1f19a-7774-4072-b02f-20bd7837cbfb,a2f1f19a-7774-4072-b02f-20bd7837cbfb
GB51PZRB05095860162225,470503.01,Savings,51e9554f-bebb-4bc1-b4d3-158fd22d7640,99246b44-a0b5-4772-ae77-977f525422f0
GB47XVBU50753199587026,974334.76,Savings,5656fa89-acfb-4c0a-bf09-adc3b37b2512,99246b44-a0b5-4772-ae77-977f525422f0
GB92GPAP37171150213446,273416.34,Savings,60dd28a7-9145-4303-990a-07705ba9227f,8d7accf9-2f86-4f4f-9989-bf42b30b654e
GB20LWHS02210590232163,244436.09,Business,4083cc1a-223c-4311-b162-1ca289708b59,4083cc1a-223c-4311-b162-1ca289708b59
GB41JWUJ38392981676814,748291.79,Checking,df1cf849-d55b-43f6-9efa-23aef9f98ee0,d59fe536-1da5-4694-a19f-cce6c6033136
GB20EIPS14154496579191,683858.05,Checking,36fe7287-527b-4b11-8ea8-6e14b6809fd1,36fe7287-527b-4b11-8ea8-6e14b6809fd1
GB27RZEO45139731983332,704724.51,Savings,a06a3004-ca5f-4c16-9287-db6d177d93da,a06a3004-ca5f-4c16-9287-db6d177d93da
GB63XNKB50259621012271,381892.94,Savings,3e375d3c-f6e2-4c83-9eca-a0e4743ce109,c5d4dcc8-d355-44f4-bda4-4265a44ae553
GB59PETO07946413881044,859533.7,Checking,ce053d4f-e859-464e-8b6d-c91843ec9492,ce053d4f-e859-464e-8b6d-c91843ec9492
GB20NMFI51937165430880,367814.13,Checking,fad3dcb5-274b-4f17-9713-1fb26f34ac91,fad3dcb5-274b-4f17-9713-1fb26f34ac91
GB15HURL54050398184141,8798.58,Business,60511d8a-65ba-4444-aaff-af83ebbd4d49,3e375d3c-f6e2-4c83-9eca-a0e4743ce109
GB10SPTU19371282900569,83459.96,Savings,3d713a09-0861-4a74-a04d-35aa4dbab47d,36fe7287-527b-4b11-8ea8-6e14b6809fd1
GB44EUKG87821351595024,367938.93,Savings,7c7374f4-5b50-4890-be92-a4bf5e06e446,3d713a09-0861-4a74-a04d-35aa4dbab47d
GB71BXBZ80106834551340,459237.44,Checking,74d1b5b6-e689-4df3-8c4e-e31a3cdbdaa8,504edc6e-f2e1-49b4-a067-292800133e03
GB89TQAA93448989011255,57295.74,Business,e96cc868-fbe8-43a3-836a-ad55026b31fc,e96cc868-fbe8-43a3-836a-ad55026b31fc
GB84MTSN77052707863146,959880.68,Business,a72a08d4-f46b-4775-83fd-04775fc7be06,a72a08d4-f46b-4775-83fd-04775fc7be06
GB98HIWP38796305160752,935032.82,Savings,8d5a7b54-17bf-446b-bccb-9c317e1e495d,8d5a7b54-17bf-446b-bccb-9c317e1e495d
GB07HPWN05669738197278,154456.75,Business,7904a5a6-ba50-49d0-8a8f-9ccb56db4c2f,343f8060-d317-4117-bfac-942c7bc4795e
GB66GLIB96005305449802,298561.77,Business,74515d4f-8620-4615-9857-1df61299ec0b,74515d4f-8620-4615-9857-1df61299ec0b
GB90REBX35586339271271,208764.15,Savings,6dec4805-1fb3-4079-8988-420e1d14dd86,74e9ba5d-e7be-4b94-81d8-34043c1415a2
GB41XHXO96600416599897,384790.08,Checking,fce030c7-d3e3-43af-afec-89ea4d630ea2,2aca3c61-497c-42da-b0b7-bf9d7a4e7f61
GB41EPLR70576853832616,913514.4,Checking,b19823f6-4935-4a6a-8de2-2c5c1b263fd5,74e9ba5d-e7be-4b94-81d8-34043c1415a2
GB71OLUT85309001895447,368157.37,Checking,ff9c1944-bc51-4ce4-b76a-04bf2305fd0d,5fb2c2c0-bfda-48a1-8d77-0b1013abe3fd
GB22JNRG17711117150962,63200.25,Savings,829ac0ae-d485-4e8c-b634-e85cfee369d2,51c51621-19d1-451f-980a-2e4fb36187ea
GB33IOGF28382243771660,229969.56,Checking,0347b9d4-ad18-42bf-9fb3-48ceb22349b4,0347b9d4-ad18-42bf-9fb3-48ceb22349b4
GB66VOYK46314367227189,702259.31,Checking,863be21b-da64-422c-a3af-2a9371771338,863be21b-da64-422c-a3af-2a9371771338
