FintAccountNumber,Balance,AccountType,LinkedCustomerID
GB35VISQ58615490633608,703343.45,Savings,9769ab2f-4e73-442f-9bbf-991f47293010
GB60MANN11544355449987,831184.32,Checking,fbdc88ab-ba23-4fc6-ac48-d4be413c68de
GB73EPDG43622358517246,350534.3,Business,27a017bb-059f-4aac-9850-02370ce7ef73
GB88XQUD77636657218206,692663.45,Savings,5f8e216b-9c3f-4e33-a9e3-75b57efe1ba7
GB05UPGI62055962176426,885782.56,Checking,845a091c-1034-4d31-8c22-11ea88d2e239
GB64OFRY06657978664469,204227.04,Business,ae29eb2d-61b5-4dea-9a12-019d1e2b9af3
GB55PBZP18866458842046,327092.82,Savings,00354e17-f679-4004-aceb-55c2991e4539
GB07JMWG53647306936252,582642.51,Checking,1d3bfcfd-f8cd-4142-ac1c-efb5bda89b43
GB90MJZA68709899336009,336674.39,Business,9a1def42-3a4a-468c-a258-d6e8be64697c
GB47HZVU73226094382422,463104.49,Savings,30a46df3-e377-4090-a62b-b15ff19b16c9
GB74KTJO08782450157548,795691.76,Checking,76decec6-6abd-4cc1-baa8-9cea3890d074
GB13MMDZ55831510868554,1610.7,Business,cd360ea6-da42-486a-9e26-a0d2e310438f
GB09CRJI96889777536266,92752.04,Savings,64e2ff73-4a83-4a90-99e6-b8f8728aa600
GB79LIFZ25417922049660,950529.27,Checking,5110c023-fd43-43f6-b43f-8c12b8eb0a09
GB11KNFH24970146941895,489115.78,Business,a43dfd1d-8bd8-4408-b54e-cf0a3bc3142f
GB31ZSWS03437747224667,816876.27,Savings,a0c6a874-71a8-4580-86e6-b55ca1648a65
GB78RIGH43770168087755,193989.7,Checking,8cc9b65d-37d4-4a7e-97a6-fa7d5a6a0e97
GB29DTAS05316213284040,163161.38,Business,2d7ad5cb-5be6-44a8-bd00-a996238d4672
GB09PEBK73425525770696,99607.88,Savings,c00026c8-82bc-4e86-9c0b-cd49fd14b103
GB91UVSO15220150968916,361733.76,Checking,328455e6-6468-43cf-a39a-4c4214225c05
GB14LNGQ78786693658513,909442.16,Business,f704870a-72c6-4da9-9751-3ed2cf926adb
GB50JTQQ99572648058339,420945.17,Savings,00216d70-8bcd-4241-a1a1-1815ff81035a
GB29UJRN96912681451672,245635.34,Checking,4feb90c7-4abb-4207-832b-31501e7e1e3b
GB41YNWW12790865484053,863488.24,Business,7789ca39-411f-45e2-ad94-69e49501c930
GB64MLLH76594099324755,506294.28,Savings,296f6c82-bae1-4998-9f53-1529219d7268
GB43NQZK63755276273633,410090.9,Checking,02a8946e-c073-4acd-b0a9-8b16678a9a98
GB52JWFO34098710563456,656605.23,Business,90d4660c-727a-4690-b3e8-4323c1661b3f
