TransactionID,Timestamp,Amount,SenderAccount,ReceiverAccount,TransactionType,Status
b0c4783a-c423-4cff-aa34-2adc7ccaaacf,2024-02-20 07:00:06,6614.73,GB94NHIX74330427791596,GB18JLBC47486646869552,Debit,Failed
4e3a5ad2-7f16-463e-a34f-9653307cf105,2024-03-28 06:36:44,4170.76,GB76GVXY18342529398833,GB35TUOJ80262537995630,Debit,Pending
ac2bdc56-138d-470c-b754-867663aacb45,2024-05-20 18:25:34,6189.72,GB05YTJF10165734180864,GB24DSBN32140682094615,Debit,Completed
0baa7212-6656-403f-b17d-34c9504e4142,2024-05-17 03:34:27,5757.59,GB71TBRF41790728400912,GB91EVZB83321800712767,Credit,Failed
030d60d3-fdff-488e-bdeb-12ec156c414d,2024-06-06 18:44:48,8494.58,GB53ZEZK48788784878902,GB73CTXU05429730572351,Credit,Failed
a5bbca4d-c800-40bd-8801-df925e0ad96d,2024-03-17 17:55:01,3019.17,GB40ZFCR29506484266591,GB31FMWG31893309053051,Debit,Failed
0ffaa1df-2556-4e24-be9b-d6bb103b3b52,2024-05-28 07:10:43,3804.17,GB88HNJJ84571213186032,GB35TUOJ80262537995630,Debit,Failed
11230313-f69b-4bc6-93f1-3ffb720dd170,2024-01-13 19:10:06,9190.25,GB67SZEG67663179949754,GB26YNMP51634329323496,Credit,Completed
aae2d3a0-bdcd-43c7-be95-0c1f4330ca57,2024-02-10 02:35:02,7617.37,GB26YNMP51634329323496,GB81WOBP44395563317158,Credit,Failed
b7668415-2ed2-4433-9caf-d6b1c8a5d76b,2024-05-18 10:19:16,4015.07,GB13CMVH39881798305121,GB48PIBQ77074090041340,Debit,Failed
50864d75-ecb0-4de5-8ee7-3cfca22095bd,2024-05-21 18:45:09,8125.2,GB57MFPO14558888516561,GB85MXBH21327569670036,Credit,Completed
b0d5e45e-90ed-457c-8ec9-1d89cb752222,2024-04-05 20:03:31,3184.56,GB76ZMFL76507336703370,GB88HNJJ84571213186032,Debit,Pending
ae559c5c-4b7f-4c4e-887c-01386b541f95,2024-01-28 01:22:39,9736.04,GB21YLXE34219676851310,GB58ORPF24756440475953,Credit,Pending
b3892bf1-6992-4448-9d73-53174dbb5d67,2024-03-01 00:59:44,7788.25,GB18XBPD40187129449102,GB05VYXM57697995995717,Debit,Pending
5a68af96-5d67-4a65-949b-467dfaf8bbb0,2024-02-03 21:57:30,7445.85,GB26NAUF79526682043915,GB21YLXE34219676851310,Debit,Completed
e4d99c39-0b00-4278-9b0e-5ef4365d8a9e,2024-03-27 22:13:16,4141.89,GB28LHQN45495216804977,GB35TUOJ80262537995630,Debit,Failed
15da688d-40de-4c39-9faf-f64c100e7b27,2024-05-01 12:57:13,7909.96,GB12GTQT03190678253862,GB94DDWO51732679611658,Credit,Completed
b88411a1-32e3-47e6-8fcf-b0520e00f94c,2024-04-03 03:04:11,7128.59,GB67MGDV08312549119322,GB34WUTM43912449633609,Debit,Pending
a0d8eb8d-395c-4f34-937d-011291411963,2024-06-04 10:27:51,9699.26,GB64URAT58139694963800,GB35WGZG03474224209222,Credit,Pending
9b66e342-8e6a-43d8-b6a2-0381b17fa77e,2024-03-10 22:42:43,7983.79,GB20OUVQ46692631160643,GB24JQKF23066183678110,Credit,Pending
8aed5fbb-52cd-4760-97b5-9cc1de3e0271,2024-02-19 15:27:07,153.31,GB35TUOJ80262537995630,GB76ZMFL76507336703370,Credit,Completed
55cedcd2-f4dd-43f4-bdd5-2149d4f6e75c,2024-01-29 23:10:44,8369.77,GB56NPJU22713023441205,GB87LPWI21150948661238,Credit,Pending
93ed5766-ff63-4dd8-84c9-487da3c4bf3a,2024-03-30 20:05:36,7558.23,GB32WNVP60128876972533,GB12GTQT03190678253862,Credit,Failed
1c8db7ce-c289-49b5-b08f-027b3ae65aec,2024-02-19 00:37:46,2999.93,GB71TBRF41790728400912,GB69PVAE91455336292292,Credit,Failed
9ae7caa4-d97d-4c5c-a0f1-4e84d8cf7495,2024-03-23 03:06:23,5202.61,GB32WNVP60128876972533,GB53ZEZK48788784878902,Debit,Pending
8d77a204-5b12-4417-a3d9-d4506f7dfb1f,2024-02-05 12:31:52,9797.13,GB86SKJE68143835629973,GB87AFDI76405717593742,Debit,Failed
f56460e6-5eb5-4ac6-91ec-1dca66c8e224,2024-03-05 15:28:41,4967.01,GB64URAT58139694963800,GB66OLXW24085239771101,Debit,Pending
ef0737f9-1e14-44b0-93f0-ca291723c7a0,2024-01-28 01:59:15,7656.32,GB35QXIE12287420710928,GB05VYXM57697995995717,Debit,Pending
8a7404f8-ab2d-4b38-9daf-46b4a0e47db3,2024-02-24 09:53:25,453.1,GB70PEXB60616067372683,GB67MGDV08312549119322,Debit,Pending
46335f00-8253-4196-bf0a-033d788508df,2024-05-11 23:53:15,5372.19,GB09FQCP25253700398261,GB56NPJU22713023441205,Credit,Failed
064161b1-d48d-4e8f-9e8a-53c834aa730f,2024-02-01 20:38:12,5165.29,GB73FLTH58637061140093,GB70PEXB60616067372683,Credit,Failed
fcdff941-9351-429c-98a9-e1d46e12ea3f,2024-03-07 11:55:09,3539.7,GB93ZNRZ35318904108652,GB20OUVQ46692631160643,Debit,Failed
eeee2fdf-2e9a-43fb-ac0c-d4a02a452937,2024-05-27 04:24:38,7168.74,GB24JQKF23066183678110,GB87LPWI21150948661238,Debit,Pending
1c5f70da-f7c7-4ce7-bdbe-1640f3a85433,2024-02-03 06:14:32,7636.36,GB15KZMW11842633737670,GB43WEOD67317106302042,Credit,Completed
4335541e-02b4-40d8-84ea-a1a04175a647,2024-03-05 14:02:29,7164.57,GB24DSBN32140682094615,GB34WUTM43912449633609,Credit,Failed
76b7c397-3d03-4914-8af0-4dca4c3b8f6b,2024-05-05 18:27:16,9597.91,GB56FOMK82881204673742,GB93ZNRZ35318904108652,Credit,Failed
64ab16a3-5041-42f3-b09e-3beb7a09a4a0,2024-01-13 17:39:43,8516.57,GB56FOMK82881204673742,GB44MQRQ97158252888207,Debit,Completed
7578b234-5c8f-461f-bf03-6e73ce2bbb3b,2024-02-22 06:29:20,5132.77,GB11MZER40226585736643,GB70PEXB60616067372683,Credit,Pending
2b9f5d25-8fec-400c-a2fc-c16fbd4baa86,2024-02-07 13:57:52,1651.01,GB81WOBP44395563317158,GB35WGZG03474224209222,Debit,Failed
8cbbbba5-9256-408e-b173-03b5bc15ad52,2024-01-06 17:47:47,925.08,GB18JLBC47486646869552,GB93MGWD57526881845967,Credit,Completed
9bb3acfa-8302-4235-9c70-e6171d768c3c,2024-03-09 12:06:59,2073.64,GB11MZER40226585736643,GB35WGZG03474224209222,Debit,Completed
10aa8737-4bc5-4409-a0a2-a4508da2addc,2024-04-22 01:33:37,2425.62,GB92XRVI88611852456611,GB88HNJJ84571213186032,Credit,Pending
94133733-b149-44cc-84e2-02463d377d7b,2024-06-09 05:37:23,5963.14,GB29SWUH88496088503367,GB84XIAM39323629740846,Credit,Failed
65e165fe-d08d-489a-b423-cd622ff07d55,2024-04-05 03:58:18,7865.15,GB52XVLW17943674768395,GB67MGDV08312549119322,Credit,Pending
1935ca99-ee7e-4c4c-8d5d-841390b93c08,2024-04-30 03:34:06,4767.36,GB15ZJIP35338644603131,GB56FOMK82881204673742,Credit,Failed
42a59ffe-4f5e-44fc-ae11-37f7597fe9e6,2024-01-22 06:11:30,8290.31,GB46KROK95132519495962,GB18JLBC47486646869552,Debit,Completed
b6ffc3e3-c789-4d97-a09d-223b000d7bd9,2024-02-22 17:02:51,8423.48,GB79LBPQ60642585374886,GB81WOBP44395563317158,Credit,Failed
af0d64df-f55e-4849-9304-24ec6c59dfd1,2024-05-14 02:16:26,6201.72,GB03QRSQ33606612001704,GB11HSRO95386215611132,Debit,Failed
5a0329a7-10a3-437b-ab63-077f6a3b498b,2024-03-17 07:14:34,2210.32,GB13ZAHI07654550795863,GB43EYOB30062430992154,Debit,Failed
fd9fa0df-3768-4a4c-8ed0-3a74c2b9db6d,2024-05-11 04:18:33,2196.33,GB90CQCG59061769999051,GB18JLBC47486646869552,Credit,Completed
0804f846-2dc3-4132-82e3-6dab93e402d6,2024-05-01 23:36:36,9949.5,GB82HRAJ75902547300089,GB53HHNP08629541745209,Debit,Completed
37185c49-ba50-4086-97cb-bc2f6b423b60,2024-03-13 08:51:30,6181.44,GB79LBPQ60642585374886,GB94DDWO51732679611658,Debit,Completed
4844c36a-8e08-412f-8ed4-f2f2e0beaacf,2024-04-13 02:48:10,9857.45,GB45ZPBH73521171444604,GB70PEXB60616067372683,Credit,Failed
45a3e908-8c7e-4000-bc80-a83fc0011dca,2024-04-08 12:49:21,6643.06,GB24DSBN32140682094615,GB09FQCP25253700398261,Debit,Completed
141635c6-fe69-4c38-b91e-6bd5808a98ca,2024-03-08 22:03:36,1154.26,GB31FMWG31893309053051,GB58JABR90291008985394,Debit,Pending
6bd0e768-3409-4ed8-920a-fc3cf7189aad,2024-03-28 10:02:42,8167.81,GB56NPJU22713023441205,GB57MFPO14558888516561,Credit,Completed
04a3541d-067c-4c80-bdd1-bd5586a8a6b8,2024-04-07 20:38:19,504.65,GB35TUOJ80262537995630,GB03QRSQ33606612001704,Debit,Completed
5578c886-c29e-4377-b981-448b1ccfadef,2024-02-02 14:45:38,1581.38,GB09FQCP25253700398261,GB53FVFM49861182387462,Debit,Completed
da345645-73f6-4ce5-9c5e-3939444e0103,2024-04-07 03:33:09,1474.99,GB90CQCG59061769999051,GB81WOBP44395563317158,Debit,Completed
73c35c21-168f-43c3-8610-9db9896696f4,2024-01-17 10:28:31,4267.72,GB03ZVNU42609210133311,GB82HRAJ75902547300089,Credit,Pending
45ff3c85-158b-4055-b1d6-2f5e64914fba,2024-03-22 22:25:47,377.43,GB71TBRF41790728400912,GB15AGQT02903901090942,Debit,Completed
bf249604-0b23-4376-9570-5e29965b741d,2024-04-10 22:15:46,4940.1,GB18NSYH71122871662915,GB91EVZB83321800712767,Credit,Completed
4c9b4aab-c7be-43b5-9555-cb91a184d6b2,2024-06-05 04:29:31,5087.99,GB11MZER40226585736643,GB53HHNP08629541745209,Debit,Completed
44bbe9ab-0dbf-4e0a-939e-331c0a09f766,2024-02-14 14:19:00,1940.18,GB08EIZM64452294096821,GB29SWUH88496088503367,Debit,Pending
0edbe3e3-01fb-4ee2-89f1-a9bc971efb69,2024-05-23 03:25:00,652.67,GB53HHNP08629541745209,GB15ZJIP35338644603131,Debit,Pending
404d7119-854b-4ce4-aa79-18432a795b97,2024-03-24 15:03:25,265.64,GB13ZAHI07654550795863,GB93MGWD57526881845967,Credit,Pending
4aef9ce3-7faf-4585-8a3d-bce47004ba8d,2024-03-11 01:06:42,1617.12,GB24JQKF23066183678110,GB86SKJE68143835629973,Credit,Failed
8e5b11b2-76c2-4832-9926-d7af8faf20f5,2024-02-25 22:20:12,8901.58,GB79KHSJ82112415804102,GB11CBIK79412033545278,Debit,Completed
bfbbbb15-94b6-4934-a3a2-8812586b7903,2024-02-24 11:33:52,4884.67,GB05YTJF10165734180864,GB64URAT58139694963800,Debit,Failed
