TransactionID,Timestamp,Amount,SenderAccount,ReceiverAccount,TransactionType,Status
c691bddd-3291-4bea-98cb-e27766447cae,2024-05-29 01:29:04,6516.83,GB46USQB32337498653748,GB32EOWU17196644278708,Debit,Pending
980783bc-000b-4207-a3e1-d2125ec6054a,2024-01-25 08:11:41,4929.23,GB58OHGQ55772160506534,GB30WTSB64956303236365,Debit,Pending
d38383aa-c10d-4d09-bebb-29558b1960fc,2024-02-24 19:52:03,4399.38,GB27CGWB41940390674924,GB40XJNA34631911261532,Debit,Pending
4e97194d-ae6f-425b-830b-dbb14f499dd8,2024-02-14 22:00:02,6207.0,GB07AAMB54802886090278,GB70SEVA74480535054499,Debit,Pending
f75eef37-2bd4-4174-84ed-beef4cfb7f0f,2024-01-02 17:41:22,6920.71,GB94UMYO25988049080651,GB13QZQX47310336071507,Credit,Pending
f977f2e4-6c9a-4224-a5f7-c0106089d133,2024-04-26 22:50:33,6674.48,GB90KUKN39990249360577,GB64JQUL21279115704708,Credit,Pending
64a1545c-650b-4ab1-8cec-23bdf77042e7,2024-04-09 06:41:06,3458.64,GB81NUFX02813316187782,GB12JGAF61030691937432,Credit,Failed
edd61876-f43c-48fb-a79f-0aed1502bce6,2024-04-09 18:05:08,2627.23,GB38QSTP18632599871186,GB04KKJS27842856040976,Debit,Completed
a4e1f6ec-ab42-4e0b-aa5e-8d0b3bfa1dcb,2024-01-20 03:58:56,9091.37,GB12BIHG41789468330552,GB12JGAF61030691937432,Credit,Failed
43301ad4-e364-4ba9-91b2-a526b0cd4c63,2024-04-02 08:25:02,2790.26,GB45CXUK44668041835203,GB05SVBB79616604423317,Debit,Failed
35bacc3e-c2b0-4bf7-82c4-bb16f78e8e94,2024-05-13 00:20:50,6952.81,GB10OAEA05888987357859,GB81TTHS52649704433150,Debit,Failed
6889c40f-6f3d-413f-b225-3abebb357c4e,2024-01-15 14:27:19,8744.96,GB43SATR66068714635566,GB07CMMG44897984995514,Debit,Completed
4b17dd63-8610-4f1b-87ea-bbeacde10732,2024-02-16 12:35:55,480.5,GB14ANCF22701692990620,GB35XDJG19606123757352,Credit,Pending
5ac1366a-62f7-4524-96e4-757cc150b586,2024-04-12 21:44:08,9504.19,GB94FROD52728127707330,GB66RESX97596786568741,Credit,Completed
be51aeb3-b05e-46bc-80e7-b62a6e98b68e,2024-06-10 01:43:22,8988.67,GB78HTUN15361268276339,GB38RHIO32149847077723,Credit,Failed
8aaf1c52-b5aa-4896-9357-8301bca1f2d5,2024-03-02 16:20:33,1163.01,GB57AGYR91606093448709,GB36IVKB99201296891333,Debit,Pending
fb8493b7-8cf0-4972-9382-7119d19fb735,2024-05-24 19:31:14,2759.68,GB57BUIF74556139738998,GB37TTKQ06557400805137,Debit,Failed
ab65f0de-d1b4-4fff-a017-26cf47b0dde6,2024-05-23 09:40:50,6023.6,GB98DFHA54730002638940,GB34ALDY01984177247123,Credit,Failed
b6d74962-2ed9-46f4-add0-504542016ef2,2024-02-12 22:59:01,1165.1,GB02SPQG54711730181521,GB29DPIJ30216400329881,Debit,Completed
426e97f4-0dcc-40f8-bf2f-f8330ac13a8e,2024-01-15 12:50:34,9873.67,GB37NEMY05912349508405,GB77HTQK07497518857490,Credit,Pending
