CustomerID,Name,StreetAddress,City,State,ZipCode,FintAccountNumber,RiskScore
894c42a5-2bc3-423e-89c8-ac28ebae5751,Jacob Compton,3463 Johnson Circle Apt. 517,Port Allen,Colorado,59606,GB52EIUS04552527556967,0.96
7c762136-5c09-4294-98a5-2e2cbed873e5,Nichole White,572 Lisa Highway,South Charlotte,Nebraska,42243,GB52EIUS04552527556967,0.26
3e64f505-bae0-4400-a22a-56d2de96233d,Stephanie Martin,1760 Shelley Junctions Apt. 304,New Kevin,Illinois,49964,GB11LMEJ48452591993891,0.74
f3399bc9-dd52-4d16-a0fd-c9195eda7ed2,Micheal Hahn,1305 Lucas Lake Apt. 389,Aguilarburgh,Maryland,76788,GB79FBMJ00254947944705,0.71
2fa5e337-482c-4c48-aa9c-7ce479007361,Shannon Nelson,6403 Jessica Springs,North Maria,Texas,99117,GB85LCQR75026325005446,0.08
e07dec2d-acc5-4272-9dfd-f27fcde26376,John Moses,00983 David Throughway,Hannahport,Mississippi,56993,GB32LZMY68384322615714,0.99
ca03f6a0-4e2f-471f-9a24-021884586775,Regina Martin,86879 Franco Course,South Nicoleville,Michigan,06409,GB09UZOP28431302992738,0.47
59ae108c-834e-4c68-bc11-c379eb6b4e7b,Samuel Brown,538 Amanda Green,Bobbytown,California,03822,GB37TOTL32698618993420,0.2
0fdc8e88-d356-4a83-a283-472e23ba8d80,Mary Gonzales,1583 Stevens Circle Suite 814,Kevinshire,Kentucky,54051,GB32LZMY68384322615714,0.51
bd4c2bdd-e8e8-472a-a0cd-0722364d97c5,Julie Stewart,771 Murphy Plain Apt. 066,Riveraburgh,South Dakota,76690,GB26KVXN74725599656434,0.71
57e22e2e-0096-4b4e-a152-59ea0f07852c,Fernando Clements,50241 Arellano Ramp Apt. 758,Garymouth,Mississippi,73435,GB55WXEM86727204594888,0.23
d590ff8f-6f06-41cf-915a-93083e42bc5f,Jonathon Stevens,364 Parker Passage,South Jessicachester,Kansas,56408,GB47RTNP89213927462570,0.26
