CustomerID,Name,StreetAddress,City,State,ZipCode,FintAccountNumber,RiskScore
356c3889-6584-4fbe-a019-d107890e5d4a,Karen Oconnor,6614 Kevin Plaza,Port Lauraborough,South Carolina,24332,GB05RPRR94149067211539,0.71
8e122332-ccad-4843-a161-6421f6f28e6e,Tina Chen,60416 Aaron Roads,North Kellyfort,Nevada,74467,GB55DFGV07274043767445,0.94
6475603a-5b63-4eed-b19d-f7216df7bbca,Jesse Abbott DVM,760 Rivas Via Suite 684,South Crystal,Texas,34572,GB38JXHH69772307286823,0.53
1d7a9000-d46c-4c1b-836b-7244fd045360,Mrs. Jennifer Wiley,598 Justin Walks Apt. 416,East Edwardtown,Washington,62406,GB24QHZW70202246493973,0.54
d4b8dff6-1132-4723-b8e4-808dd5ebd211,Eddie Davis,798 Patricia Lock,Port Kathleenmouth,South Carolina,56372,GB42MLLH15039161416886,0.86
3971b6a2-df2d-405c-9e0f-351d32163038,Melinda Adams,750 David Branch Apt. 494,Lake Dennis,Louisiana,60267,GB86BIYF90759700101014,0.43
889e1028-1e3c-4b2f-8d10-a53401b59044,Brian Jennings,661 Graves Falls Suite 972,North Andrew,Hawaii,31805,GB43IYFS93696229624204,0.0
567f939f-9f99-4ae3-81c4-3b40efa4e5f2,Ann Castro,5658 Huang Square,Jillfort,Oklahoma,89544,GB23ZEDC61478267923315,0.19
2cb2f791-355f-4343-929e-f5517e63af51,Katherine Alexander,0736 Matthew Port Suite 008,Phillipsberg,Maine,85562,GB45PWOX96247694303436,0.5
2155ec86-add0-4a73-88bd-33e08ba8e767,Pamela Raymond,98592 Cabrera Junction Suite 396,Scottstad,New Jersey,14380,GB60FDIB82780908867283,0.09
a4d4e73c-2538-4610-b41e-1f5b111de54f,Kyle Pham,4293 Bailey Roads Apt. 363,Port Daniel,Maine,09920,GB05MYMW56612074498690,0.43
7bb47fd4-7783-4d84-984f-bbdeabf95edd,Christina Randolph,81872 Judy Hills Suite 421,Beltranchester,Utah,48658,GB92WALO34363629278451,0.63
1f717ac4-bcc2-4893-997f-bd6c240cd70a,Ryan Petersen,504 David Junction Apt. 555,West Katrinamouth,Illinois,59065,GB27NNFZ83036794520385,0.2
aa1ada79-4fb6-409f-9433-c9e70e173631,Brandon Lloyd,249 David Spring,Leahborough,Oregon,81062,GB18STLJ80245101218375,0.01
fed4f7db-2f67-48be-bd8e-04f6f2ea992c,Karen Mayer,31723 Mary Stream Apt. 700,Mathewshire,Indiana,72716,GB91TPKW14785152415911,0.44
907fd44a-f51c-44cc-b6c0-5b1aff758783,Eric Salazar,459 Olson Mountains,South Michael,North Carolina,02979,GB55ESAY62641014849080,0.96
f1f8b3b7-ebec-43d6-ab85-52af69813e99,April Kane,01170 Anna Shoal,Jamesside,Hawaii,13500,GB91FTZO48848990078912,0.34
e5ee7986-64b7-4d52-89ac-540835180253,Duane Snyder,046 Barrera Terrace,Bryanhaven,Wisconsin,41691,GB46WYML22509800039824,0.22
580ea7aa-ec18-4e59-b319-fde27b4a2c10,Katrina Parker,64217 Nguyen Islands Apt. 543,Jonathonview,North Dakota,56389,GB57YYHU13110218772002,0.13
a02f5ef4-1380-4d7d-9620-9993ad4b650f,Jessica Collins,5038 Wheeler Wells,Vazquezchester,Indiana,62998,GB08BHNF41413748361032,0.73
3cd3d15e-93c6-4678-a547-5ddc494d078c,David Stein,0113 Jonathan Circles Apt. 292,Racheltown,Missouri,83628,GB38UMDQ69360811681378,0.42
54f406df-f9d4-4ccd-a8a4-ae8df1397cc6,Paul Hughes,2035 Patrick Valley,Jimenezfort,South Carolina,49436,GB77LZQU61200829346661,0.73
da69bd0c-220f-4ac3-8653-6a3585297b89,Nathan Austin,561 Matthew Hill,Lake Garymouth,California,45353,GB35AIUW51079805104866,0.81
313234be-0cae-421d-801a-c4f0999d20b7,Allison Holder,84965 Moore Corners Apt. 209,Allenside,Michigan,78668,GB50CHQJ21663092793131,0.36
16453ce2-7a97-4050-9978-0731cb2997b2,April Stevens,0321 White Fields,Lake Josephmouth,Kansas,58302,GB80VXVV55927549066546,0.86
d74a9a2c-a4c8-4995-9c73-1edcf086bcd4,Jessica Williams,25831 Andrea Knolls Suite 831,New Kayla,Florida,73488,GB88KWWN01403055227028,0.81
4b88be55-e3d7-439a-bf4e-63cb6e975bb7,Michael Andrade,27148 Johnson Throughway Apt. 039,Jasonmouth,Alaska,62026,GB66LLPM03702976213860,0.02
de0ed8f0-010c-4c56-b05c-d30707e775db,Alexander Mason,7772 Brian Stream,Billystad,Alabama,79718,GB76XHUX50085902465984,0.63
3d71daf9-fe4c-4fd7-b206-f7b5068bb5ca,Raymond Brown,30735 Ashley Mission,Lawsonborough,Massachusetts,72119,GB77HELP66442505389146,0.88
90723253-eae0-4d80-8c28-363283eb3103,Amy Torres,11242 Dennis Port Suite 488,Isaacfurt,Louisiana,82970,GB93PWVD96368914259970,0.28
10d046f7-741d-4d31-a6c3-bb90a37952fd,Danielle Moreno,77834 Diane Springs,Pierceshire,New Mexico,32243,GB07ISET61874916163372,0.65
73b7f46c-dd19-4fd4-93a6-2407d4b1d5f9,Veronica Sutton,158 Tran Mews,Hallbury,Idaho,42263,GB30DMSL40693639074597,0.76
1c53a22d-51c2-4ae9-be23-e351ee889f05,Mark Rosario,719 Jerry Lodge Apt. 520,Morrisonstad,Maryland,59595,GB30HNDC81013753103218,0.31
75732067-a889-4ba9-9feb-60866ebc1c25,Jacob Arnold,6026 Baird Fields Suite 103,Joeberg,Arizona,84129,GB60WQKN32975182720614,0.94
8a0905c5-8fa6-4bd1-9066-8cf7d00fbed9,Sandra Adams,404 Cassidy Lights Apt. 417,East Janetfort,Iowa,14740,GB75BPFV96569422806098,0.09
92a764b4-ca2a-4663-b844-9d80dcd325af,Kara Anderson,7365 Woods Circles,Justinhaven,Mississippi,87611,GB17ZFYK81080428928047,0.36
428c1148-5492-4a83-9a26-735f260f9646,Kenneth Wilson,10619 Solis Expressway,Jessicaberg,Connecticut,40358,GB37SRLE44010941495131,0.01
6502af17-3c18-4cd9-92c8-dfa25583cbd6,Curtis Tyler,009 Samuel Forest,West Charles,Utah,04788,GB02BDLR72413542817016,0.54
fbde8b21-037c-4049-9225-29b264500993,Heather Williams,373 Morrison Square Apt. 077,Katieberg,North Carolina,06615,GB12TFUC63576001352609,0.64
ce2c6e1f-14e3-4a71-876f-246625b961b9,Danielle Smith,6282 Carter Villages Suite 178,Jasonview,Vermont,05048,GB85XYAO77792692938001,0.52
52b4a2ce-b53d-4e0f-9d04-c3c92a41de59,Lisa Bailey,945 Beverly Ville Apt. 078,West Katherine,Rhode Island,32054,GB63NHZU30372278003564,0.23
e9eb6c03-f7bf-4bca-b310-953cdf9af18c,Richard Hanson,378 Ryan Shoal,Mcdonaldberg,South Carolina,07215,GB32MYQY56963182727343,0.99
cc2ae645-7c10-487e-a20a-f7d5052d6707,Kaitlyn Christian,1011 Casey Street,Leahchester,Wisconsin,56438,GB08BETY96818645696157,0.06
d85f7df2-5bb7-4331-bcb5-5827f161d2e3,Scott Jackson,92549 Patrick Ville,Myersville,Kansas,07113,GB61ATDD23873528717281,0.08
7bc85595-2db6-4f94-a8d3-bc6ba4405d91,Lee Aguilar,63229 Sandra Drive Apt. 979,West Annetteshire,Wisconsin,36756,GB25VHAE39307041797981,0.7
7f36db15-3a7c-4eca-8503-82b75cb8b1f3,Matthew Parker,78266 Logan Ramp,New Jacob,Rhode Island,20455,GB05SVQC93261006645887,0.44
0279307a-8d76-48bf-886e-6473386f6e4f,Sherry Brown,453 Ethan Inlet Apt. 373,North Bryce,Tennessee,10687,GB83WBKO82498436024995,0.63
481de1d2-055f-486d-a7cd-1a95e115d90d,Rebecca Mcgee,6481 Woods Creek,South Kristen,New Jersey,38912,GB18FVTZ34443195641997,0.11
d58d1497-5748-4eb6-b329-131765ca22a0,Brandon Larson,8648 Fletcher Highway,Dustintown,Louisiana,70697,GB52JYFF69967258295082,0.5
cf1d86c7-b76b-4802-856d-0e4dfbd5e3e2,Anna Schroeder,79346 Valenzuela Key Suite 121,Campbellhaven,Massachusetts,99211,GB48WKTO94994952647814,0.82
ec3c025c-a0e2-4921-a7bd-7c376512baf1,Melinda Lee,35318 Miller Groves,North Sarahhaven,Iowa,16810,GB92ZMMT79530420842875,0.88
ab0edd81-6445-478e-b65a-fa4652c8e353,David Roberts,99304 Williams Throughway,Thompsonhaven,Tennessee,25489,GB90MZHS70486382649031,0.04
d368a057-5069-4a2c-b4d3-70578d817070,Dr. Amy Cox DVM,6298 Hudson Keys Apt. 711,Smithhaven,North Carolina,29228,GB69OAWJ50545475187738,0.07
ad868252-cd11-4a55-8b42-c39cb612ed0e,Kelly Nolan,53825 White Parks,West David,Connecticut,72748,GB72UVYX51369467012375,0.63
cbefd957-763c-4e97-a01e-3d35b5090f59,Blake Tucker,558 Angela Unions Suite 665,Richardsonmouth,Wyoming,49653,GB95VJUH30728925850047,0.85
49f5b0bd-d635-4417-8c43-5a965a68cefc,Ethan Wolfe,352 Judith Avenue,Wallacestad,Utah,88554,GB56EZZL93465215041291,0.17
22fb8d9c-6828-46a3-858f-246f5ce8f5d0,Darrell Graham,202 James Mills Suite 874,Port Ericfort,Louisiana,41691,GB25TNGG52246745288517,0.37
d0ede0f7-4ebc-48e5-8aa9-3a6e7eb6abc3,Sarah Miller,878 James Lock Suite 041,Markview,Nebraska,34745,GB47JDCS02610514949970,0.01
463eb421-94ac-4a19-bc30-ca31731c1f1f,Michael Cline,62841 Sean Manors Apt. 010,New Matthewside,New Jersey,78016,GB86CPEK97893316062814,0.31
9e982a5d-07a8-499a-9cbd-e6e980c4254d,Krista Hart,29958 Mark Wells,Barryfort,Utah,94690,GB37GTWS04715749242588,0.98
05306684-cae9-4990-83e6-94570d91d4f6,Chad Ward,56769 Cynthia Brooks,Nelsontown,Rhode Island,83282,GB05NQLW80386301636710,0.46
fc4cbbeb-11af-440b-9de7-ebded8125352,Rachel Turner,67532 Wilson Inlet Suite 356,Robertton,Virginia,76087,GB02OQAX63390088865624,0.78
0c13a36f-86e0-44c9-a362-b45700c009f7,Lisa Lawrence,067 Daniel Lock Suite 735,Huberbury,Texas,85416,GB81YJMB05867602996401,0.45
3089111d-4304-4eec-bd6b-76fef177ae70,Emily Kemp,4525 Cooper Plain,Hardyburgh,New Hampshire,29076,GB29OBQZ61921209252454,0.97
9374cad2-352f-4e84-a8ab-d9197624450d,Andrew Benson,226 Novak Square,Cooperfurt,Arizona,94281,GB68CRSQ07790116280913,0.01
2a08e4c5-d88e-4bad-bec9-f65eda1da8ad,Matthew Erickson,939 Bailey Canyon,New Veronicastad,Indiana,38546,GB22FPOZ64420176289484,0.93
d7d64284-2697-4e2c-8061-3334fa1940b1,Jennifer Sims,9494 Holloway Circles,Livingstonborough,Montana,52983,GB66KHHU09516504318198,0.15
2406c89d-c69a-411e-8443-eab210dc8feb,Eric May,026 Taylor Spur Suite 960,Lisaport,Maryland,94653,GB25ROON74171477468956,0.96
94e8c68d-fa3c-428c-b2fa-d687d43d030e,Dale Mitchell,27574 Stevenson Alley,Brookeland,North Dakota,43534,GB31FRJX74340670794385,0.24
2b86f700-4314-4a6c-a765-7af640076ac8,Edward Lyons,7266 Wilson Brook Suite 702,Michaelbury,New Hampshire,33801,GB27NICL10595262722623,0.07
9c7374e0-7cbb-4c56-82f2-6272c3e31800,Robert Payne MD,491 Victor Well Apt. 896,Kaylaside,Alaska,05644,GB42EGVY91897243101557,0.02
5a3b8bc4-0a5f-4b72-aff0-33d04d7194dc,Joshua Meadows,39316 Buchanan Stream Apt. 092,Lake Laura,Arizona,50789,GB51FZKE46651838399823,0.76
71a082d4-487c-47f6-bf78-f538d4236fe1,Maria Gay,4351 Barber Inlet Suite 311,Berrystad,South Carolina,29610,GB71AKQN53562605152619,0.69
