CustomerID,Name,StreetAddress,City,State,ZipCode,FintAccountNumber,RiskScore
356c3889-6584-4fbe-a019-d107890e5d4a,Robert Hale,87628 Burns Mountain,Priscillabury,Texas,64890,GB05RPRR94149067211539,0.81
8e122332-ccad-4843-a161-6421f6f28e6e,Brian Lozano,138 Catherine Court Apt. 103,South Lisa,North Dakota,13375,GB55DFGV07274043767445,0.64
6475603a-5b63-4eed-b19d-f7216df7bbca,Leah Hernandez,6889 Saunders Viaduct Apt. 308,Richardport,Wyoming,61021,GB38JXHH69772307286823,0.87
1d7a9000-d46c-4c1b-836b-7244fd045360,Charles Graham,80493 Gabriel Loop,North Christystad,Iowa,08297,GB24QHZW70202246493973,0.33
d4b8dff6-1132-4723-b8e4-808dd5ebd211,Jennifer Torres,837 Jennifer Valley Apt. 386,Robertside,Virginia,31822,GB42MLLH15039161416886,0.25
3971b6a2-df2d-405c-9e0f-351d32163038,Henry Gilmore,759 Hensley Shores Apt. 506,New Monicaborough,Georgia,39585,GB86BIYF90759700101014,0.55
889e1028-1e3c-4b2f-8d10-a53401b59044,Aaron Spencer,5554 Harris Plaza,South Heathermouth,Virginia,84519,GB43IYFS93696229624204,0.3
567f939f-9f99-4ae3-81c4-3b40efa4e5f2,Tyler Bailey,023 Joshua Islands,Huntershire,California,06276,GB23ZEDC61478267923315,0.0
2cb2f791-355f-4343-929e-f5517e63af51,Julia Morales,6101 Gregory Green Suite 046,Harveyfort,New Jersey,06378,GB45PWOX96247694303436,0.88
2155ec86-add0-4a73-88bd-33e08ba8e767,Robert Vargas,229 Flynn Circle Suite 793,North Victoria,Michigan,72821,GB60FDIB82780908867283,0.64
a4d4e73c-2538-4610-b41e-1f5b111de54f,Samantha Henderson,97452 Henderson Causeway,Port Russellstad,Kansas,84389,GB05MYMW56612074498690,0.52
7bb47fd4-7783-4d84-984f-bbdeabf95edd,Mrs. Bonnie Stark DVM,57820 Moore Dale,North Teresahaven,Idaho,88984,GB92WALO34363629278451,0.36
1f717ac4-bcc2-4893-997f-bd6c240cd70a,Jacob Baker,80232 House Station,Richardborough,Ohio,92016,GB27NNFZ83036794520385,0.41
